Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14
57,NaN,NaN,1.5,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.50131008955581,0.205569662123791,-0.715516074913265,-0.135212587308524,-0.2053163643346,0.246463532055669,-0.417575022552441,3.13434968010208,0.0205735838605344,-0.0943187173766459,0.974763882271015,0.626192324280248,0.225042933519923,0.0380995281170536
58,NaN,NaN,1.5,NaN,NaN,-4,-0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.423254726709647,0.310847035609131,-0.699734611219316,-0.0800383183528155,-0.297408710312142,0.263178090004015,-0.23067218646498,3.48941232855823,0.0839428545287815,-0.120080232661112,0.907662234585176,0.430972778534022,0.301313246488108,0.0820360967045769
59,NaN,NaN,1.5,NaN,NaN,-2.5,-0.043619387365336,0.999048221581858,NaN,1,NaN,-0.417575022552441,0.0887300337469974,-0.699937457796359,-0.0164256317921169,-0.316314011292554,0.411986338922793,-0.366944516922497,3.64649671782036,0.106255978003516,-0.0320042489090226,1.02344706076135,0.386671086107821,-0.0300569217694094,0.0147316024416949
60,NaN,NaN,1.5,NaN,NaN,-0.75,-0.0130895955713444,0.999914327574007,NaN,1,NaN,-0.410934137691709,0.447986925273078,-0.685507264377174,-0.180949809356875,-0.331143656432685,0.281365626173352,-0.321756540990447,3.82265492675768,0.112397548213066,-0.145748126448482,0.910302360803305,0.616955003233364,0.149946009982018,0.0349538458146014
61,NaN,NaN,1.5,NaN,NaN,0,0,1,NaN,1,NaN,-0.343892374026535,0.185464825168865,-0.697621717414116,0.0617832365718089,-0.262262525552478,0.0667305001156912,-0.15589635935901,3.92064880079996,0.249779251239334,-0.0470565613936005,0.986921519277789,0.390776262239979,0.128571294414219,0.0543623412559855
62,NaN,NaN,1.5,NaN,NaN,0.75,0.0130895955713444,0.999914327574007,NaN,1,NaN,-0.341264140268848,-0.152495115672591,-0.710221779252441,-0.132474158518442,-0.0895721074738386,0.0934766436498046,-0.235439081025492,3.8087942641125,0.345168676444814,-0.183956619771967,1.06878327073047,0.571119478613061,0.205021976365775,0.219322660047309
63,NaN,NaN,1.5,NaN,NaN,2.5,0.043619387365336,0.999048221581858,NaN,1,NaN,-0.353627311967723,0.39628208779688,-0.710867616579995,-0.0908637821289449,-0.36543690881441,0.422853680701925,-0.279817331675932,3.80925557648933,0.18370934455652,-0.229626545077513,0.995619127766227,0.605902431825568,0.157137751651475,0.0656133760896532
64,NaN,NaN,1.5,NaN,NaN,4,0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.47387047986126,0.227816399446039,-0.662466162837135,-0.0550771250177732,-0.254766671698111,0.26664492241166,-0.235352410215301,4.29649091305793,0.435826343904724,-0.124413773170668,0.960011403940612,0.241683729076618,0.269418388337776,0.177894012775954
65,NaN,NaN,1.5,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.395838641237299,0.0964140813789846,-0.695148085642175,0.101361344922867,-0.301840633903536,0.61340312171468,-0.296893370359654,5.55324577028111,0.427880738819095,-0.230105312517244,1.08834042192738,0.751926500943383,0.351198153888921,0.128571294414219
66,NaN,NaN,1.5,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.221596019221766,0.572835560654845,-0.602337421558944,-0.0788179933453246,-0.265527719491441,0.638733111059357,-0.265527719491441,6.8660516242857,0.448362409890768,-0.232578944289185,1.05242328859879,1.08537206380105,0.367820959396365,0.400769734598621
67,NaN,NaN,2,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.550371914989954,0.509785435267813,-0.674946759504656,0.314024965316139,-0.0596995682279662,0.42588809100281,-0.0190220679782678,3.4792429534958,0.461480903721296,0.314024965316139,1.09198215759162,1.0818127825292,0.878425281280705,0.138603245489314
