Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17
41,NaN,NaN,1,NaN,NaN,2.8,0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.121000855555741,-0.707687511400265,0.323685208428324,0.00729792480940929,-0.777442188103648,-0.611774830933114,-0.687757603770727,-0.431160043040426,-0.0973340902456651,-0.0512461788523585,0.242719958683326,0.666230495811008,-0.231860966745046,-0.77370533042311,-0.792389618825802,-0.561950061859269,1.18814495185953
42,NaN,NaN,1,NaN,NaN,3.64,0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.210339434547872,-0.773774531491268,0.279604128011603,-0.087853543908003,-0.786023120555255,-0.651288640851399,-0.667620092936715,-0.45122835280628,-0.0837706808866739,-0.0511077767160424,0.340847073331538,0.48783014209938,0.0754609769451554,-0.810520298683229,-0.822768887747215,-0.549217065318175,1.22682834895992
43,NaN,NaN,1,NaN,NaN,6.3,0.109734311091045,0.99396095545518,NaN,1,NaN,-0.059703277813577,-0.593483895970479,0.176243227313749,-0.00168364540521803,-0.767542793195555,-0.628295675415494,-0.748202915726102,-0.438764876214855,-0.264705978989778,0.0215242075581255,-0.0287594738624522,0.342566173551045,0.0524680115092502,-0.721127087268868,-0.767542793195555,-0.388481194794277,1.1432371007864
44,NaN,NaN,1,NaN,NaN,18.2,0.312334918512233,0.949972051524652,NaN,1,NaN,-0.297335823540804,-0.858886522166664,0.102156619776922,-0.146583958137889,-0.930493658233049,-0.602608350981708,-0.738285029844332,-0.561151587995906,-0.338792586526606,0.0117055005351724,-0.27849184036544,0.128538196222432,0.139844586127651,-0.617683537521999,-0.632758724062291,-0.203115907663982,1.18003245740777
45,NaN,NaN,1.25,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,2.48843302255057,0.720553334315131,3.28867417473105,2.61091891319044,-0.104184995993319,0.0999581550731292,-0.210339434547872,0.0101351686038921,1.73310336360471,1.45955154117567,2.17813543292957,3.08044816064327,0.777713416613736,-0.394068270507675,-0.549217065318175,-0.0796878178653451,2.55784169391316
46,NaN,NaN,1.25,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,0.877696085484885,-0.0580391488220193,1.74933986538721,1.24088099377752,-0.357132602710071,-0.327223257321266,-0.528043147788958,-0.258859039289711,0.706785540405998,0.561511577088945,1.01442452154799,1.70661222911749,0.121416923510812,-0.754499620018482,-0.763045147272427,-0.293041148305488,1.59979313844318
47,NaN,NaN,1.25,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,0.902426323447057,0.195348682025997,1.53155839809729,0.991506971185143,-0.46162109504239,-0.244487016180805,-0.517296499878694,-0.300162421017109,0.696427325552732,0.38464505846943,0.974804349734252,1.70415215308983,0.0450250889679758,-0.778970902609323,-0.817943685994736,-0.316865042468,1.67074691018805
48,NaN,NaN,1.25,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,0.535191353146796,0.0810136706541627,1.29950331073958,0.832097152057838,-0.530435895420062,-0.421668424531859,-0.65390167318505,-0.202663652067773,0.283850305553785,0.297078781742891,0.917347331943187,1.55819351177098,0.752726294923203,-0.695056932440046,-0.755319990634861,-0.371694181150792,1.34359823136993
49,NaN,NaN,1.25,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,0.485788710588716,-0.0092584307474204,1.23091121198125,0.638896073888552,-0.478787678200251,-0.397130417773672,-0.657412935383393,-0.335887472453737,0.353095662395525,0.281645559522268,0.740967649421776,1.28705057852452,-0.121537163833967,-0.677827250490037,-0.708448723150005,-0.64720577783007,1.64940467166747
50,NaN,NaN,1.25,NaN,NaN,0,0,1,NaN,1,NaN,0.253745995543187,-0.34643486859217,0.912447896317592,0.534102589674442,-0.61046001063811,-0.46483789621071,-0.584601878169693,-0.272943334208249,0.29185271707559,0.217000228351226,0.813098229465254,1.38333809811087,-0.0837706808866739,-0.749277353363294,-0.786023120555255,-0.313771964421539,1.63919751411415
