Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15
41,NaN,NaN,1,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.400107364497317,-0.177037380537968,-0.0825843242668922,-0.367953132575249,-0.211201251955166,0.108331427770389,-0.0644975688107289,-0.207181972964907,-0.510637536729427,-0.164979543567192,-0.783948508067008,0.377623120117711,0.669020846911455,0.624808778018611,1.24377774251843
42,NaN,NaN,1,NaN,NaN,6,0.104528463267653,0.994521895368273,NaN,1,NaN,-0.395260586891417,-0.134007452524612,0.242504417592255,-0.233898356841332,0.119561766125523,0.19640092329223,0.181033091858889,-0.0725361267912459,-0.31842142972471,0.465337973375706,-0.787140288441625,0.595964540559109,1.06468339927602,1.29520087077615,1.85612671809311
43,NaN,NaN,1,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.26847597756635,0.123403723983858,0.645909992717469,0.24096763444892,0.463032798660705,0.528346082252406,0.110341067265518,0.110341067265518,-0.320726604439711,0.371594201632323,-0.660355679116558,1.46885736597291,1.54723330628295,1.66479721674801,2.33099270938336
44,NaN,NaN,1,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.295369682574697,0.0811421875421689,0.542177130542413,0.788062433475877,1.36435611222618,0.50375755195906,0.288607911892279,0.250188333308925,0.0965100189755105,0.442286226225694,-0.418312334041429,1.87149454952645,2.50925955401012,2.47083997542677,3.1470245584938
45,NaN,NaN,1.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.285764787928859,0.136850576488032,-0.228135420053828,-0.833243782741649,-0.900478045262519,-0.429838207616435,-0.497072470137304,-0.698775257699911,-0.814033993449973,-0.372208839741405,-0.823638888095811,-0.516282259428981,-0.122481578949606,-0.564306732658173,-0.0648522110745751
46,NaN,NaN,1.25,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.435841266770085,0.166265566340912,-0.0582488460055613,-0.711381681922574,-0.813433687534608,-0.0174280437607479,-0.456251667892491,-0.364404862841661,-0.782818085850998,-0.425636066208881,-0.752202484167388,-0.262352857229628,0.543857987105435,0.0540083601676754,0.747961998329502
47,NaN,NaN,1.25,NaN,NaN,-6,-0.104528463267653,0.994521895368273,NaN,1,NaN,-0.34311973024258,0.421978734688778,0.421978734688778,-0.585711926440328,-0.762990839046374,-0.11918847221389,-0.175171286721062,-0.34311973024258,-0.800312715384489,-0.100527534044832,-0.6416947409475,-0.212493163059177,0.599257647294825,-0.0725361267912459,0.375326389266135
48,NaN,NaN,1.25,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.440903046248441,0.191329538919227,0.256642822510929,-0.610717583586865,-0.642067959710881,0.131241318014862,-0.103886502915262,-0.229288007411329,-0.819720091080309,-0.37558976265674,-0.608105052243197,-0.0908238461969222,0.857525031554581,-0.216225350692989,1.11616563457772
49,NaN,NaN,1.25,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.399102544749752,0.123403723983858,0.293218261322282,-0.712606305989919,-0.647293022398217,-0.229288007411329,-0.111724096946267,-0.425227858186433,-0.76485693286328,-0.229288007411329,-0.77791958958162,-0.242350664129669,0.22790497773058,-0.216225350692989,0.515283425534066
50,NaN,NaN,1.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.441646059749851,0.115614066307784,0.502100927928401,-0.387717660453951,-0.486586392496435,0.0916458888429392,-0.094107486509606,-0.225932462566251,-0.747240322426619,-0.228928484749356,-0.64537556820103,0.0137493120821943,0.750770769126163,0.145574288138839,1.09830934236641
51,NaN,NaN,1.25,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.3436852132174,0.141216437690686,0.319343574758962,-0.313997357039354,-0.11607831585238,0.48757475976789,0.0521528691565475,0.151112389750034,-0.620771870879163,-0.056702603496288,-0.600979966760466,0.942788554497929,1.19018735598165,1.58602543835559,2.05113518514498
52,NaN,NaN,1.25,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.25340368135288,0.0254337985963061,0.143500118935151,-0.213210891450295,-0.0172710406751909,0.382144808981752,0.166108563255355,-0.0122469419373678,-0.391566396643018,0.0405060948097755,-0.733205110814994,0.718759424415905,1.08300658290808,1.02774149679203,1.8014527024168
53,NaN,NaN,1.25,NaN,NaN,6,0.104528463267653,0.994521895368273,NaN,1,NaN,-0.247345209345505,0.0792212086130013,0.549861046259084,-0.0456424217828983,0.396182731925669,0.492231678384054,0.473021889092377,0.156060365779709,-0.151296262887121,0.828402990988399,-0.737194836283265,0.991686199967652,1.5775847733638,1.86573161273895,2.56688892188515
54,NaN,NaN,1.25,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.0888644476891712,0.400985179248589,1.0541180151656,0.547940067329917,0.825521522594647,0.907163127084274,0.384656858350663,0.384656858350663,-0.154177731280873,0.71122327630917,-0.578714074626931,2.0828022317349,2.18077215712245,2.32772704520378,3.16047141099797
55,NaN,NaN,1.25,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.122481578949606,0.348158258696477,0.924451937446783,1.23180856611361,1.95217566455149,0.876427464217591,0.607490414134115,0.559465940904923,0.367368047988154,0.799588307050883,-0.276159893283021,2.58609871117683,3.38330496678142,3.33528049355223,4.18051122238601
56,NaN,NaN,1.5,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.145533326099618,0.361605111200651,-0.0763780846495813,-0.802508119874967,-0.883189234900009,-0.31842142972471,-0.399102544749752,-0.641145889824881,-0.779456372724954,-0.249266188274673,-0.79098224629996,-0.422154291899765,0.050406524675486,-0.479783659774795,0.119561766125523
57,NaN,NaN,1.5,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.325625100709089,0.396903099024107,0.127485804208339,-0.656273598892076,-0.778736005626516,0.176470766902115,-0.350117582055977,-0.239901415994981,-0.741997283606184,-0.313378860035645,-0.705258561585852,-0.117439009260541,0.850014003941535,0.262194451616223,1.09493881741042
58,NaN,NaN,1.5,NaN,NaN,-6,-0.104528463267653,0.994521895368273,NaN,1,NaN,-0.214359256876083,0.703758901041547,0.703758901041547,-0.50546989231338,-0.718204587440636,0.0543582527583452,-0.0128211246502618,-0.214359256876083,-0.762990839046374,0.0767513785612142,-0.572649269721987,-0.057607376256,0.916493596168802,0.110341067265518,0.647776086534375
59,NaN,NaN,1.5,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.331699236083117,0.426979866118086,0.505355806428127,-0.535476680889225,-0.573097132238045,0.354874001032848,0.0727206159166978,-0.0777611894785821,-0.786279689881358,-0.253323295773075,-0.532341643276823,0.0883958039787063,1.22641445728051,-0.0620860014165737,1.53678318090827
60,NaN,NaN,1.5,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.28153863428469,0.345468888195642,0.549246333001751,-0.65774314777289,-0.579367207462848,-0.0777611894785821,0.0633155030794929,-0.312889010408707,-0.720443900020923,-0.0777611894785821,-0.736119088082931,-0.0934363775405904,0.470870392691709,-0.0620860014165737,0.815724530055892
61,NaN,NaN,1.5,NaN,NaN,0,0,1,NaN,1,NaN,-0.332590852284809,0.336121298984353,0.799905532929095,-0.267876773129729,-0.386519251580709,0.30735948602654,0.0844554356034858,-0.0737345356644882,-0.69930396749693,-0.0773297622842148,-0.577066262426223,0.213883593913646,1.09830934236641,0.37207356518162,1.5153556302547
62,NaN,NaN,1.5,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.215037836445867,0.366844144643836,0.580596709125767,-0.179412409032212,0.0580904403921567,0.782474131136481,0.25996786240287,0.378719287115054,-0.547541825639983,0.129341295219467,-0.523791540697546,1.32873068481253,1.62560924659299,2.10061494544173,2.65874664158899
63,NaN,NaN,1.5,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.106699998208444,0.22790497773058,0.369584562137194,-0.0584686503253411,0.176659170604784,0.655958190193115,0.396714695321439,0.182688089090172,-0.272495256556608,0.245991733186744,-0.68246171356298,1.0598957287141,1.49699231890472,1.43067421556545,2.35912766231517
64,NaN,NaN,1.5,NaN,NaN,6,0.104528463267653,0.994521895368273,NaN,1,NaN,-0.0994298317995935,0.292449869750614,0.857217674925914,0.142613513275535,0.672803697725816,0.788062433475877,0.765010686325865,0.384656858350663,0.0158289039504675,1.19146800860109,-0.687249384124905,1.3874078593762,2.09048614745157,2.43626235470175,3.2776511256772
65,NaN,NaN,1.5,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,0.0907470821880074,0.678566634513319,1.46232603761374,0.854912500210913,1.18801024652859,1.28598017191614,0.658972649435809,0.658972649435809,0.0123711418779657,1.05085235098602,-0.497072470137304,2.69674709749689,2.81431100796195,2.99065687365955,3.98995011261258
