Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13
47,NaN,NaN,1.25,NaN,NaN,-6,-0.104528463267653,0.994521895368273,NaN,1,NaN,-0.470024218240791,-0.629615538669113,-0.201083289370841,-0.733054357465248,0.144697904890524,0.82148331929952,0.124010141131297,-0.706455804060528,2.04501677591666,1.81745137456516,2.00068585357546,0.582096338657037,-0.812850017679409
48,NaN,NaN,1.25,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.422055886886979,-0.632419374783001,0.0665693904738099,-0.626357026428649,0.235708909560237,0.838306335982848,0.115674412144063,-0.64393783665627,2.02773908310675,1.10504966357434,0.567319364543303,-0.0486152282588822,-0.723960834933719
49,NaN,NaN,1.25,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.439381440341786,-0.660880504951855,-0.115843480798988,-0.680790533231411,0.227604507023366,0.824905355410069,0.0210379636229645,-0.678301779696467,2.04190583399798,1.15093206848781,0.757709009966565,0.100678076741192,-0.757941892814694
50,NaN,NaN,1.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.486627289968579,-0.659626011300094,0.0354444068496358,-0.719598901361686,0.133092574001202,0.692070664703473,0.0308311076141288,-0.671159259388862,2.37515600245763,0.91427791121373,-0.00838193588768128,-0.209829335838156,-0.763425244099003
51,NaN,NaN,1.25,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.509757859746608,-0.570179265011652,0.0208996995376898,-0.735681375085467,0.0366618052590056,0.806377967983259,0.0497968933601022,-0.698903128402397,2.15666502477598,0.845783232286549,0.330887778723567,-0.194515745320292,-0.740935410325906
52,NaN,NaN,1.25,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.452736124343024,-0.604175963626254,-0.0639375165505686,-0.639408905826842,0.0708130343218565,0.802669237225303,-0.00707031159523332,-0.684531796715315,2.04447591934779,0.857063955008667,0.360094033442475,-0.139348375295687,-0.740780879877658
53,NaN,NaN,1.25,NaN,NaN,6,0.104528463267653,0.994521895368273,NaN,1,NaN,-0.383661013976082,-0.504503824506169,0.0235267171579092,-0.606957511694722,0.362411990166198,0.979761130917733,0.0629319814611985,-0.706784181263055,2.14352993667488,0.966626042816636,0.212671985813698,-0.184007674839415,-0.719919269364151
54,NaN,NaN,1.25,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.413871716608604,-0.635526328314607,0.147653299713271,-0.611883169732633,0.629382655820984,0.732821474617119,0.0737684291446032,-0.61483856455538,2.17505414811751,1.00176240348707,0.168341063472498,-0.180395525611614,-0.697589619592287
55,NaN,NaN,1.25,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.334498255654835,-0.431772965249241,0.005963227925586,-0.596599556506428,0.281574905109736,1.05166635606545,0.0627068085223226,-0.64253483603712,2.15411306480205,1.18947219465752,0.154577367583706,-0.250733922392985,-0.674959739235255
56,NaN,NaN,1.5,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.487491620744887,-0.737946045447725,-0.0218029248130472,-0.765339498149598,0.0603774332925716,0.224738149503809,0.134731090626227,-0.647938986570143,2.83885620733968,3.27715145056965,4.31027595246886,1.45744352108809,-0.820126403553344
