Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18
49,NaN,NaN,1.25,NaN,NaN,-1,-0.0174524064372835,0.999847695156391,NaN,1,NaN,0.635158972676766,0.0672890646732857,-0.176083753042491,-0.810328065877547,-0.117084282081091,-0.56695524816177,0.804782451690792,-0.773453396526672,-0.766078462656497,-0.692329123954746,-0.412081636888094,3.48188344656434,0.613034171066241,0.502410163013615,0.767907782339917,0.443410692052214,0.00828959371188518,0.0672890646732857
50,NaN,NaN,1.25,NaN,NaN,0,0,1,NaN,1,NaN,0.224928276148278,0.0359455957250417,0.404692289233795,-0.756859795318778,-0.360457099796868,-0.66006378827273,1.15140434358902,-0.729203793305621,-0.521783778206948,-0.512565110869229,-0.374285100803446,3.45607117801873,0.469222960597827,1.0177336671921,1.11452967423814,0.731954979722814,0.390864288227217,0.174225605790824
51,NaN,NaN,1.25,NaN,NaN,1,0.0174524064372835,0.999847695156391,NaN,1,NaN,0.529802774531408,-0.0654597449898655,-0.176083753042491,-0.750275032934693,-0.349921479982332,-0.565901686180316,1.01444128600005,-0.818756561729176,-0.718668173491086,-0.534294826736709,-0.460545488034958,3.22692144705257,0.666765832120373,0.866942608596553,0.909085087854697,0.556141824067747,0.166323890929922,-0.0759953648044012
52,NaN,NaN,1.25,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,0.294068281181169,0.174225605790824,-0.162255752035913,-0.706157124961324,-0.378894434472306,-0.641626453597293,0.957812329496925,-0.752250461649918,-0.627798452590714,-0.484909108856072,-0.480299775187213,2.93982580710647,0.911718992808331,1.37265235969427,0.971640330503503,0.630549639007906,0.349380285207482,-0.0193664083012713
53,NaN,NaN,1.25,NaN,NaN,4,0.0697564737441253,0.997564050259824,NaN,1,NaN,0.472910427532914,0.177913072725912,-0.196733567878982,-0.760178515560357,-0.240983171100032,-0.589080049772295,0.856406988782018,-0.763128489108427,-0.600879943964575,-0.521230658166685,-0.364882060118973,2.89188873695034,0.939006248127979,1.08060497843534,1.11010471391604,0.670558655253606,0.431610797859934,0.207412808206612
54,NaN,NaN,1.25,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,0.283173492509319,0.226185367148876,-0.249833091744242,-0.688976881286485,-0.00847161962942174,-0.514660262536892,1.34583441834818,-0.481137835854278,-0.524716990541676,-0.3403436437873,-0.249833091744242,2.73701512567666,1.17822228493511,0.987144452844212,1.37600460236253,0.9100428714742,0.434024412581082,0.293230220514104
55,NaN,NaN,1.25,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,0.0412827189205632,0.417792500713711,-0.408976401574336,-0.727263021234523,-0.160557576473702,-0.614698241110798,0.899103974346189,-0.478844196133889,-0.614698241110798,-0.474962651991692,-0.0906897819141487,1.67929434692787,1.20186441743759,1.34160000655669,1.37653390383647,0.716671399662911,0.161610587328683,0.510949560126449
56,NaN,NaN,1.5,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,0.715849425609269,0.819966139070564,0.481586820321356,-0.877136290348545,-0.705343713137408,-0.705343713137408,-0.00776173294673122,-0.88234212602161,-0.66369702775289,-0.66369702775289,-0.502316121887883,3.19382720598809,0.856406988782018,-0.299288530638357,0.0182674454185926,-0.0233792399659254,-0.419022751118847,-0.382581901407393
57,NaN,NaN,1.5,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,0.603552113233158,0.717336807230145,0.890120972188532,-0.850363421172783,-0.698650495843468,-0.761864214730682,0.139984841393583,-0.816649437766269,-0.732364479249982,-0.77872120643394,-0.458438364072051,4.54808817179537,0.582480873604087,0.759479286488288,0.447624939978028,0.18634156857754,-0.12551277793272,-0.108655786229462
58,NaN,NaN,1.5,NaN,NaN,-4,-0.0697564737441253,0.997564050259824,NaN,1,NaN,0.764503966707528,0.403699509674348,0.396891878409571,-0.777424514764458,-0.477888739114271,-0.542561236129652,1.16615421132937,-0.814866486720732,-0.539157420497264,-0.583407023718314,-0.314505588759624,4.05258986759481,1.06063592672533,0.740677257280809,1.17976947385892,0.890445145105902,0.447949112895399,0.233508728054924
59,NaN,NaN,1.5,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,0.586251516485078,0.358016720923871,0.418568809542151,-0.797130815794076,-0.345319077642298,-0.475738960820131,1.08929963731386,-0.797130815794076,-0.349976930612935,-0.676026638557517,-0.168320664758097,4.00977344990319,1.59700561111328,1.03806325463686,1.16382528484405,0.637487899162084,0.721329252633548,0.399937397659603
